,micro_ChatGPT,micro_ChatGPT,micro_Gemini,micro_Gemini
text_richness,lexical_richness,semantic_richness,lexical_richness,semantic_richness
film_id,,,,
1070101,125.54250552157663,0.7073951363563538,89.75573428391527,0.6975566148757935
1070102,94.5,0.692986011505127,85.34403087951475,0.6883081793785095
1070103,134.1787850935829,0.713551938533783,76.16768292682927,0.6731204390525818
1070105,120.0,0.7075582146644592,72.83081660448866,0.6769726872444153
1070106,150.63249814402374,0.7239669561386108,77.1587224383917,0.7205906510353088
1070107,153.0360501567398,0.7545228004455566,82.26060541237183,0.7083978056907654
1070109,118.16411253430924,0.7122700214385986,78.3012162375612,0.7127969264984131
1070110,116.00136524253132,0.6933029890060425,59.5204725736294,0.6883691549301147
1070111,135.70506912442397,0.7173474431037903,71.21428571428571,0.7050116658210754
1070112,167.55429696701148,0.6792809963226318,76.01140114011402,0.6806935667991638
1070113,133.4643975493533,0.6870769262313843,74.45856475179812,0.6982129216194153
1070114,150.12301012262571,0.7060306668281555,58.705343256924124,0.674899160861969
1070115,141.77534246575343,0.6647903323173523,75.02165127020785,0.684466540813446
1070116,146.1111014138593,0.7043439149856567,79.40820861003733,0.671778678894043
1080101,122.3180675863544,0.7244997620582581,83.47174447174447,0.6844064593315125
1080102,98.67332462198992,0.7223690748214722,95.80761548064919,0.6684684157371521
1080103,111.99313798219583,0.7306933999061584,59.87944747286711,0.6748232841491699
1080104,97.23129926980221,0.7190229892730713,77.81148805618118,0.6555907726287842
1080105,97.12950754393813,0.7427516579627991,86.05173482032218,0.6967539191246033
1080106,120.44202469717102,0.684374213218689,74.60532421393528,0.70100998878479
1080107,92.90730337078651,0.7169554829597473,69.59223300970874,0.6762242317199707
1080109,117.92845640671729,0.7262144684791565,85.41318296884035,0.6665524244308472
1080110,115.28571428571429,0.7165025472640991,83.18586387434556,0.7041215300559998
1080111,139.56965615030128,0.720093309879303,91.91666666666667,0.6949491500854492
1080112,113.50955893421647,0.7111051678657532,78.65916180228768,0.6395743489265442
1080113,131.59684361549498,0.7043274641036987,79.71754425783024,0.6677913069725037
1080114,107.77777777777777,0.7192251682281494,77.57142857142857,0.7042500376701355
1080201,164.66025249164642,0.7539440989494324,85.36363636363636,0.7080062031745911
1080202,179.1767459856839,0.7455306053161621,94.93110707385298,0.729931116104126
1080203,120.88473383194017,0.7331728339195251,85.61402764820626,0.7149123549461365
1080301,243.67251883513777,0.7343218922615051,100.71160130718954,0.7210153341293335
1080302,188.7614472123369,0.7268824577331543,104.05802512086956,0.7190561294555664
1080303,163.96001157407406,0.7302841544151306,92.08628519527701,0.703098475933075
1080304,190.1319073083779,0.7398514151573181,104.47859536867763,0.7127248048782349
1080305,169.6111111111111,0.7214293479919434,99.53981856228535,0.7022882699966431
1080306,122.23267375091655,0.6937437057495117,100.22624760076775,0.6689035296440125
1080307,151.46268656716416,0.7380545735359192,82.54020706282797,0.7098463177680969
1080308,,0.5427794456481934,113.94946808510639,0.718285858631134
1080401,185.1406903952781,0.7239687442779541,102.47664623503422,0.7119626402854919
1080402,183.71851342050928,0.7396294474601746,84.87232257427698,0.7339754700660706
1080403,128.8006857999078,0.6814264059066772,86.2139411655755,0.6786059737205505
1080404,171.66508620689655,0.7034088373184204,109.89504965508452,0.700123131275177
1080405,173.61004000978707,0.727591335773468,108.92095922303693,0.6790400147438049
1080406,175.0984375,0.6732611060142517,107.73689516129032,0.6633056998252869
1080407,177.45463917525774,0.7499881386756897,114.01380558536945,0.7198008894920349
1080408,274.8288947705389,0.7147531509399414,128.12587887121362,0.6663902401924133
1080409,200.76903035337912,0.6873211860656738,115.50661651697683,0.6991005539894104
1080410,252.09818892045456,0.7526845932006836,119.1854775059195,0.7301026582717896
1080412,159.29822646657573,0.6773611903190613,98.0333730532336,0.6965967416763306
1080413,187.9811245634822,0.7145797610282898,111.49092575434074,0.7029700875282288
1080414,135.27787924818358,0.7246315479278564,99.83397473202484,0.7326567769050598
1080415,192.57243375619524,0.7303260564804077,121.96906086647351,0.73150235414505
1080416,212.02362425788465,0.6561596393585205,111.37746916541201,0.7133782505989075
1080417,180.9676165803109,0.6870146989822388,93.52447331460675,0.685230016708374
1080418,236.04254232772908,0.6954095959663391,105.4340269908748,0.7107641100883484
1080419,227.68269230769232,0.7376874089241028,102.50612954119052,0.7061812281608582
1080420,182.6983862166756,0.7179259061813354,101.65995964162403,0.7113553881645203
1080421,208.9507312802308,0.699428141117096,129.23445126751693,0.6934202313423157
1080422,188.8020369493131,0.7035841941833496,86.9537193583156,0.7109101414680481
1080423,159.37886726030234,0.7529825568199158,161.83999999999997,0.7803732752799988
1090101,137.67375254582487,0.7365325093269348,98.71808617489829,0.6910116672515869
1090102,105.34589134589135,0.6555347442626953,90.15159817351598,0.6600414514541626
1090104,59.47635018615587,0.7799811363220215,108.08725382932167,0.6973395943641663
1090105,82.30670081092616,0.6826123595237732,72.66104765413903,0.6551039218902588
1090106,85.51724257563143,0.7062767148017883,94.15016719612105,0.7021999955177307
1090107,94.86327399380805,0.7067676186561584,78.61034019695614,0.6748527884483337
1090109,105.625,0.6900420784950256,98.92072680495257,0.6547205448150635
1090110,96.66666666666667,0.6940450072288513,70.98060648801129,0.655301570892334
1090111,164.96363636363637,0.7172223925590515,76.36374224939604,0.6628807783126831
1090112,131.13404977375566,0.7405974864959717,111.57593207105212,0.7309933304786682
1090113,122.83456021140053,0.6779087781906128,100.97605675005003,0.6831364035606384
1090114,147.52240671099693,0.6791729927062988,100.63095238095238,0.6597524881362915
1090115,171.6,0.6922855973243713,93.90844370860927,0.6989712715148926
1100101,94.66666666666667,0.6982919573783875,83.3896680111697,0.6904821395874023
1100102,88.58333333333333,0.6854637265205383,84.0824726011196,0.67013019323349
1100103,89.2037433221673,0.6713781952857971,89.72222222222223,0.65370774269104
1100104,117.21700643776825,0.7056736946105957,84.03857791225415,0.6886492371559143
1100105,93.02505592841163,0.713496208190918,96.13213213213214,0.6934472918510437
1100106,91.9,0.7428208589553833,88.47543652356572,0.7191926836967468
1100107,91.23218954248367,0.7083227038383484,103.02222222222221,0.6942909359931946
1100110,159.82127659574468,0.7424938678741455,117.56980840677832,0.6686075329780579
1100108,171.05528269560253,0.7383178472518921,122.26661441600166,0.6984227299690247
1100109,95.03472222222223,0.7021510004997253,105.88777211747734,0.6828311681747437
1100111,93.2,0.7326523065567017,102.79792445552192,0.715002179145813
1100112,105.06878645611039,0.6775408983230591,101.25467289719626,0.6920036673545837
1100114,87.34000922934933,0.6715517044067383,117.30020338645923,0.6401100158691406
1110209,141.72199673290174,0.730112612247467,124.86786238596667,0.7233925461769104
1100116,155.8446001599059,0.7403892278671265,105.55253623188406,0.7041511535644531
1100117,158.95369928400956,0.6915449500083923,111.79392610915733,0.6829342246055603
1100118,135.41078838174275,0.7266237139701843,107.7708724504862,0.7011392116546631
1100119,167.71451612903226,0.6604602932929993,95.31680154142583,0.6692284941673279
1110201,83.05250012426066,0.7011131644248962,102.32885891531242,0.6816322207450867
1110202,98.13100923364766,0.7108487486839294,105.45273204109425,0.6989694833755493
1110203,108.86176635294541,0.7330383658409119,117.37071778140293,0.7172306776046753
1110204,98.35629776307994,0.6937819719314575,78.49763660873747,0.6491543054580688
1110205,110.94113311837863,0.7259650230407715,107.5151923716465,0.6811621189117432
1110206,114.87617421007685,0.7186521291732788,104.0764165251428,0.7056184411048889
1110208,180.81879593778712,0.6910063624382019,98.6362201172756,0.6986003518104553
1110210,195.71076119515124,0.7215591073036194,92.85038392050588,0.6847832202911377
1110211,223.8452943412621,0.741192638874054,140.14127620653292,0.7291167974472046
1110212,184.19572884113506,0.743719220161438,119.25085433575396,0.7034258246421814
1110213,161.17378412385796,0.7209799885749817,81.56332435115587,0.7002795934677124
1110214,278.7278757227233,0.7282353639602661,138.4504098387299,0.6985129714012146
1110215,255.9927965322234,0.7130834460258484,123.72284349589643,0.6991243958473206
1110216,218.86451575916982,0.7365458607673645,95.01628041944954,0.7033990025520325
1110217,230.52881781279007,0.7139927744865417,127.74310004685111,0.6995835304260254
1110218,181.01544872158286,0.762511134147644,141.72551336947672,0.7388266324996948
1110219,193.21770704573547,0.6626288890838623,113.75,0.6588282585144043
1110220,213.41703581490532,0.707925021648407,106.02553176663241,0.7080743908882141
1110221,160.6448207171315,0.7206591963768005,102.24258487868778,0.7219131588935852
1110222,212.00571311201045,0.7550844550132751,124.01802059496569,0.7147517204284668
1110223,207.60513134877678,0.724999189376831,128.60612298763155,0.6841846704483032
1110224,198.54332166902,0.6675217151641846,108.76616966790323,0.6616848707199097
1110225,170.14636032093364,0.6772539615631104,103.51660870607986,0.680683434009552
1110226,,,94.10589260808925,0.6721031665802002
1110227,212.2124616858161,0.6878939270973206,107.29770098110997,0.6891803741455078
1110228,161.84651123767333,0.6762295961380005,105.05307183028404,0.6522262096405029
1110229,215.9770959911935,0.6523245573043823,127.94859049623395,0.6913942694664001
1110230,203.60728439174926,0.6882242560386658,96.34204123730542,0.6652156114578247
1110301,176.4840384528182,0.7105029225349426,125.47034138811543,0.6598697304725647
1110302,157.5,0.71201491355896,113.11111111111111,0.6923267841339111
1110303,153.00952380952378,0.7182453274726868,124.7654829301767,0.7089120745658875
1110304,183.7295902285264,0.7073604464530945,103.30454903082756,0.6681833863258362
1110305,159.6635561588056,0.6896522641181946,131.02986412648806,0.670408308506012
1110306,139.06799780087965,0.6909165382385254,143.7653364508203,0.6790064573287964
1110307,172.5125200154602,0.7435041666030884,104.6733715002481,0.7085846066474915
1110308,174.88004262651913,0.7350026369094849,104.06065624041705,0.724789023399353
1110309,215.84418103448274,0.688431441783905,124.94683800301405,0.6773325204849243
1110310,155.72793578355473,0.7166653275489807,118.9990953865713,0.677736759185791
1110311,180.8686175580222,0.7030671238899231,123.07252189413315,0.6717271208763123
1110312,162.15181518151815,0.7008621096611023,117.09001628284872,0.669065535068512
1110313,201.48927021684534,0.7175862193107605,115.46647164716471,0.6851359605789185
1110314,169.38618765333308,0.7229016423225403,121.42660336239103,0.6753798127174377
1110315,177.99407552083335,0.6994354724884033,133.4126163391934,0.6855452656745911
1110316,157.34596408634437,0.6952950358390808,111.80657767946037,0.6956279277801514
1110317,223.17841516963244,0.722134530544281,100.69232602267894,0.7254103422164917
1110318,190.17528209011738,0.6694325804710388,102.49153278599671,0.7113068103790283
1110319,288.04757039055403,0.725789487361908,127.8043804071656,0.6879128217697144
1110320,227.87564379083113,0.7094195485115051,107.89870043036277,0.7128289341926575
1110321,223.25067122077218,0.7301927208900452,101.27040567258172,0.7375054955482483
1110322,215.47305434955658,0.7351584434509277,80.2757295974952,0.7060348987579346
1110323,194.01377708978328,0.7140490412712097,103.92464652956298,0.7045398354530334
1110324,169.18306592256715,0.7073221206665039,89.85468186333455,0.6573304533958435
1110325,212.89168574223726,0.6956538558006287,106.38409022002773,0.7242433428764343
1110326,210.13973563528458,0.6654285788536072,119.36897383776196,0.7145069241523743
1080108,119.93385744234801,0.7258169054985046,73.71428571428571,0.6997852325439453
1090103,90.63806187974313,0.6718513369560242,134.5399999999999,0.6547748446464539
1110207,95.13908281174771,0.6991996765136719,95.18839738175674,0.6964247226715088
