film_id,n_raters,unique_categories,entropy
1070101,150,24,3.730574109021787
1070102,120,19,3.395899785025341
1070103,57,19,3.7388856907210357
1070105,84,19,3.7769678968009677
1070106,204,18,3.373726975279903
1070107,90,16,3.235022757846946
1070109,192,19,3.099996806626295
1070110,78,14,3.2296250899296743
1070111,90,16,3.1484603687247863
1070112,78,20,3.7188446675436393
1070113,84,16,3.4454565663380863
1070114,168,22,3.888915657198164
1070115,150,26,3.8660554300644243
1070117,114,19,3.740900715270085
1080101,102,20,3.676785643756673
1080102,144,23,3.748594621083907
1080103,72,14,3.3681238279837187
1080104,84,18,3.6644977792004614
1080105,72,10,2.6407145883683985
1080106,90,17,3.2701158480578556
1080107,162,22,3.7428936502712578
1080108,168,26,3.7815510771976313
1080109,60,11,3.1056304105795505
1080110,54,16,3.5230448004038126
1080111,78,16,3.4509574796605405
1080112,126,17,3.1785065716577985
1080113,186,21,3.0206964907233727
1080114,96,23,3.7555514181441603
1080201,66,15,3.4082176124391794
1080202,72,16,3.3532177126204514
1080203,66,13,3.2019301371365603
1080301,60,16,3.587582004007327
1080302,138,15,2.942513511676954
1080303,102,17,3.435422615150678
1080304,96,19,3.682419172515418
1080305,60,14,3.4270796852095993
1080306,114,17,3.4343944616345996
1080307,90,19,3.834178415870657
1080308,36,10,2.9546859469463556
1080401,60,13,3.2597156188768257
1080402,54,11,2.920222344861497
1080403,78,16,3.0026418302783418
1080404,132,20,3.6591152333439925
1080405,30,11,2.931519764647184
1080406,72,13,3.0008188245262506
1080407,72,18,3.429101043616541
1080408,108,18,3.5148878794626714
1080409,36,10,2.9178889510627526
1080410,174,28,4.1172666543279925
1080411,66,13,3.360322962114331
1080412,96,16,3.237211720254798
1080413,84,13,3.0772975979202957
1080414,54,11,2.8722321636551893
1080415,132,20,3.5379799925499515
1080416,48,17,3.5365766899407323
1080417,144,22,3.795891494765734
1080418,84,24,4.24687497608789
1080419,108,20,3.5314629488561997
1080420,90,15,3.0331962686045264
1080422,96,9,2.2939607952326924
1080426,120,13,3.148021498482717
1090101,78,15,3.299744655926825
1090102,60,12,2.812954305423077
1090103,156,18,3.232097803264862
1090104,84,21,3.7822789828658325
1090105,96,16,3.5680800010885214
1090106,42,15,3.6723452571233435
1090107,78,14,3.2445682133140283
1090109,60,12,3.084683680819713
1090110,84,9,2.6464297961393215
1090111,48,16,3.6124012863857193
1090112,102,21,3.824245401944844
1090113,48,14,3.344171305377177
1090114,78,12,2.8940720519669303
1090115,42,15,3.0926226269704093
1100101,60,16,3.49339059643394
1100102,102,17,3.630023708981772
1100103,84,19,3.692729304225696
1100104,108,14,2.995714157806118
1100105,90,14,3.3222867657475788
1100106,78,11,3.173671922065992
1100107,48,13,3.3568018882096764
1100108,60,15,3.2967074443745443
1100109,90,15,3.142762534774964
1100110,72,13,2.872107843897304
1100111,72,20,3.8503454057382225
1100112,36,14,3.3718956694089632
1100114,42,12,3.1874755433947657
1100115,102,22,3.698639680163107
1100117,60,18,3.66642000805361
1100118,36,13,3.288019280279689
1100119,66,15,3.2928789339082947
1110133,42,17,3.6363982332107976
1110134,120,12,2.817684400871419
1110135,78,15,3.4028273335748915
1110136,66,10,2.795998178876054
1110137,42,13,3.154837221563591
1110138,186,23,3.3983948185178128
1110139,144,16,3.3397336531984987
1110140,108,19,3.375840208008765
1110141,114,13,2.6316229586576636
1110142,96,12,2.4538975652296284
1110143,72,19,3.6740528663082435
1110144,108,16,3.5787057805413642
1110145,78,13,2.842406223379191
1110146,126,15,2.849603221568101
1110147,78,14,3.0444470202768703
1110148,78,16,3.1720718454662697
1110149,36,7,2.29356736195246
1110150,36,10,2.9519119061099706
1110151,138,17,3.23512946365789
1110152,102,12,2.857424380195357
1110153,66,14,3.211174510720354
1110154,60,19,3.718355116088658
1110156,144,13,2.807788547948477
1110158,180,21,3.5836189336927093
1110159,36,14,3.5832745714766525
1110160,42,10,2.945107809488026
1110201,228,15,3.0336391441842854
1110202,210,21,3.293194060330064
1110203,72,14,3.2322413298490846
1110204,108,13,3.3471228730753455
1110205,180,22,3.895780816940014
1110206,30,7,2.457425813763051
1110207,84,16,3.1821089383945482
1110208,84,8,2.1623974312296763
1110209,162,16,3.5082517523931664
1110210,108,14,3.025038046881323
1110211,138,19,3.349579616799363
1110212,102,17,3.41790141754752
1110213,90,13,2.884718397532441
1110214,102,17,3.493423382723373
1110215,60,14,3.2928795927888395
1110216,54,8,2.5107555992846167
1110217,66,11,2.918639660698407
1110218,96,13,3.35256491349061
1110219,102,17,3.487703243816542
1110220,24,10,3.1012274809529554
1110221,18,6,2.377443751081734
1110222,72,17,3.506168752250356
1110223,108,20,3.769673364616709
1110224,48,17,3.486978658966205
1110225,66,10,2.7722510846426127
1110226,42,11,3.2781748627913503
1110227,30,9,2.788594761554029
1110228,60,11,2.875669602698787
1110229,84,15,3.274208416661262
1110230,60,13,3.1489455419270227
1100116,30,11,3.1096856969120643
1070101,12,8,2.7516291673878226
1070102,12,8,2.8553885422075336
1070103,12,7,2.688721875540867
1070105,12,6,2.4182958340544896
1070106,12,5,2.084962500721156
1070107,12,5,2.084962500721156
1070109,12,4,1.8553885422075338
1070110,12,8,2.7516291673878226
1070111,12,5,2.1258145836939115
1070112,12,8,2.8553885422075336
1070113,12,7,2.688721875540867
1070114,12,8,2.8553885422075336
1070115,12,6,2.4591479170272446
1070116,12,6,2.4591479170272446
1080101,12,6,2.3553885422075336
1080102,12,7,2.6258145836939115
1080103,12,8,2.8553885422075336
1080104,12,5,2.084962500721156
1080105,12,5,2.084962500721156
1080106,12,4,1.9591479170272448
1080107,12,8,2.792481250360578
1080108,12,8,2.8553885422075336
1080109,12,6,2.3553885422075336
1080110,12,4,1.9591479170272448
1080111,12,7,2.584962500721156
1080112,12,6,2.4591479170272446
1080113,12,5,2.084962500721156
1080114,12,5,2.188721875540867
1080201,12,4,1.8553885422075338
1080202,12,7,2.688721875540867
1080203,12,5,2.084962500721156
1080301,12,6,2.3553885422075336
1080302,12,5,2.084962500721156
1080303,12,6,2.3553885422075336
1080304,12,5,2.084962500721156
1080305,12,5,2.084962500721156
1080306,12,6,2.4591479170272446
1080307,12,8,2.918295834054489
1080308,12,9,3.084962500721156
1080401,12,7,2.6258145836939115
1080402,12,7,2.688721875540867
1080403,12,6,2.3553885422075336
1080404,12,7,2.688721875540867
1080405,12,7,2.6258145836939115
1080406,12,8,2.8553885422075336
1080407,12,6,2.4591479170272446
1080408,12,8,2.8553885422075336
1080409,12,6,2.3553885422075336
1080410,12,8,2.792481250360578
1080411,9,5,2.197159723424149
1080412,12,7,2.5220552088742005
1080413,12,5,2.1258145836939115
1080414,12,7,2.688721875540867
1080415,12,6,2.3553885422075336
1080416,12,5,2.1258145836939115
1080417,12,7,2.6258145836939115
1080418,12,8,2.8553885422075336
1080419,12,6,2.4182958340544896
1080420,12,4,1.8553885422075338
1080421,12,8,2.792481250360578
1080422,12,4,1.9182958340544896
1080423,12,8,2.7516291673878226
1090101,12,5,2.2295739585136225
1090102,12,7,2.6258145836939115
1090103,12,7,2.688721875540867
1090104,12,4,1.9182958340544896
1090105,12,7,2.584962500721156
1090106,12,8,2.8553885422075336
1090107,12,9,2.9182958340544896
1090109,12,7,2.5220552088742005
1090110,12,6,2.4182958340544896
1090111,12,10,3.2516291673878226
1090112,12,5,2.1258145836939115
1090113,12,7,2.5220552088742005
1090114,12,5,2.188721875540867
1090115,12,5,2.188721875540867
1100101,12,4,1.8553885422075338
1100102,12,7,2.584962500721156
1100103,12,7,2.688721875540867
1100104,12,5,2.1258145836939115
1100105,12,6,2.251629167387823
1100106,12,4,1.8553885422075338
1100107,12,8,2.918295834054489
1100108,12,6,2.396240625180289
1100109,12,7,2.6258145836939115
1100110,12,5,2.084962500721156
1100111,12,6,2.3553885422075336
1100112,12,5,2.084962500721156
1100114,12,5,2.084962500721156
1100115,9,6,2.4193819456463714
1100116,12,6,2.396240625180289
1100117,12,8,2.8553885422075336
1100118,12,7,2.6258145836939115
1100119,12,7,2.6258145836939115
1110201,12,5,2.084962500721156
1110202,12,5,2.1258145836939115
1110203,12,5,2.084962500721156
1110204,12,5,2.084962500721156
1110205,12,7,2.6258145836939115
1110206,12,6,2.3553885422075336
1110207,12,6,2.3553885422075336
1110208,12,6,2.251629167387823
1110209,12,6,2.4182958340544896
1110210,12,4,1.8553885422075338
1110211,12,5,2.188721875540867
1110212,12,5,2.1258145836939115
1110213,12,6,2.3553885422075336
1110214,12,4,1.8553885422075338
1110215,12,6,2.4182958340544896
1110216,12,7,2.584962500721156
1110217,12,7,2.688721875540867
1110218,12,4,1.9591479170272448
1110219,12,4,1.9182958340544896
1110220,12,5,2.1258145836939115
1110221,12,6,2.3553885422075336
1110222,12,6,2.3553885422075336
1110223,12,5,2.084962500721156
1110224,12,6,2.4182958340544896
1110225,12,7,2.5220552088742005
1110226,12,6,2.3553885422075336
1110227,12,5,2.1258145836939115
1110228,12,9,3.0220552088742005
1110229,12,7,2.6258145836939115
1110230,12,4,1.8553885422075338
1110301,12,6,2.4182958340544896
1110302,12,7,2.584962500721156
1110303,12,7,2.5220552088742005
1110304,12,3,1.584962500721156
1110305,12,6,2.4591479170272446
1110306,12,7,2.688721875540867
1110307,12,7,2.688721875540867
1110308,12,3,1.584962500721156
1110309,12,6,2.3553885422075336
1110310,12,4,1.8553885422075338
1110311,12,6,2.251629167387823
1110312,12,6,2.3553885422075336
1110313,12,5,2.188721875540867
1110314,12,5,2.084962500721156
1110315,12,6,2.4591479170272446
1110316,12,7,2.5220552088742005
1110317,12,7,2.584962500721156
1110318,12,8,2.8553885422075336
1110319,12,7,2.584962500721156
1110320,12,5,2.1258145836939115
1110321,12,8,2.7516291673878226
1110322,12,7,2.5220552088742005
1110323,12,8,2.8553885422075336
1110324,12,6,2.3553885422075336
1110325,12,7,2.5220552088742005
1110326,12,5,2.084962500721156
